,location
0,1st Block Jayanagar
1,1st Block Jayanagar
2,1st Block Jayanagar
3,1st Block Jayanagar
4,1st Block Jayanagar
5,1st Block Jayanagar
6,1st Block Jayanagar
8,1st Phase JP Nagar
9,1st Phase JP Nagar
10,1st Phase JP Nagar
12,1st Phase JP Nagar
13,1st Phase JP Nagar
14,1st Phase JP Nagar
15,1st Phase JP Nagar
16,1st Phase JP Nagar
17,1st Phase JP Nagar
18,1st Phase JP Nagar
19,1st Phase JP Nagar
20,1st Phase JP Nagar
21,1st Phase JP Nagar
22,1st Phase JP Nagar
24,1st Phase JP Nagar
26,1st Phase JP Nagar
27,2nd Phase Judicial Layout
28,2nd Phase Judicial Layout
29,2nd Phase Judicial Layout
30,2nd Phase Judicial Layout
31,2nd Phase Judicial Layout
32,2nd Phase Judicial Layout
33,2nd Phase Judicial Layout
34,2nd Phase Judicial Layout
35,2nd Stage Nagarbhavi
38,2nd Stage Nagarbhavi
39,2nd Stage Nagarbhavi
40,2nd Stage Nagarbhavi
41,5th Block Hbr Layout
42,5th Block Hbr Layout
43,5th Block Hbr Layout
44,5th Block Hbr Layout
45,5th Block Hbr Layout
46,5th Block Hbr Layout
47,5th Phase JP Nagar
48,5th Phase JP Nagar
49,5th Phase JP Nagar
50,5th Phase JP Nagar
51,5th Phase JP Nagar
52,5th Phase JP Nagar
53,5th Phase JP Nagar
55,5th Phase JP Nagar
56,5th Phase JP Nagar
57,5th Phase JP Nagar
58,5th Phase JP Nagar
59,5th Phase JP Nagar
60,5th Phase JP Nagar
61,5th Phase JP Nagar
62,5th Phase JP Nagar
66,5th Phase JP Nagar
67,5th Phase JP Nagar
68,5th Phase JP Nagar
69,5th Phase JP Nagar
70,5th Phase JP Nagar
71,5th Phase JP Nagar
72,5th Phase JP Nagar
73,5th Phase JP Nagar
75,5th Phase JP Nagar
76,6th Phase JP Nagar
77,6th Phase JP Nagar
78,6th Phase JP Nagar
79,6th Phase JP Nagar
80,6th Phase JP Nagar
81,6th Phase JP Nagar
82,6th Phase JP Nagar
83,6th Phase JP Nagar
84,6th Phase JP Nagar
85,6th Phase JP Nagar
86,6th Phase JP Nagar
87,6th Phase JP Nagar
88,6th Phase JP Nagar
89,6th Phase JP Nagar
90,7th Phase JP Nagar
91,7th Phase JP Nagar
92,7th Phase JP Nagar
93,7th Phase JP Nagar
94,7th Phase JP Nagar
95,7th Phase JP Nagar
96,7th Phase JP Nagar
97,7th Phase JP Nagar
98,7th Phase JP Nagar
99,7th Phase JP Nagar
100,7th Phase JP Nagar
101,7th Phase JP Nagar
102,7th Phase JP Nagar
103,7th Phase JP Nagar
104,7th Phase JP Nagar
105,7th Phase JP Nagar
106,7th Phase JP Nagar
110,7th Phase JP Nagar
111,7th Phase JP Nagar
113,7th Phase JP Nagar
114,7th Phase JP Nagar
117,7th Phase JP Nagar
118,7th Phase JP Nagar
119,7th Phase JP Nagar
120,7th Phase JP Nagar
121,7th Phase JP Nagar
122,7th Phase JP Nagar
125,7th Phase JP Nagar
126,7th Phase JP Nagar
127,7th Phase JP Nagar
128,7th Phase JP Nagar
129,7th Phase JP Nagar
131,7th Phase JP Nagar
132,7th Phase JP Nagar
134,7th Phase JP Nagar
135,7th Phase JP Nagar
136,7th Phase JP Nagar
137,7th Phase JP Nagar
138,7th Phase JP Nagar
139,7th Phase JP Nagar
140,7th Phase JP Nagar
141,7th Phase JP Nagar
142,7th Phase JP Nagar
143,7th Phase JP Nagar
144,7th Phase JP Nagar
145,7th Phase JP Nagar
146,7th Phase JP Nagar
147,7th Phase JP Nagar
148,7th Phase JP Nagar
149,7th Phase JP Nagar
151,7th Phase JP Nagar
152,7th Phase JP Nagar
153,7th Phase JP Nagar
154,7th Phase JP Nagar
155,7th Phase JP Nagar
156,7th Phase JP Nagar
157,7th Phase JP Nagar
158,7th Phase JP Nagar
159,7th Phase JP Nagar
160,7th Phase JP Nagar
161,7th Phase JP Nagar
162,7th Phase JP Nagar
163,7th Phase JP Nagar
164,7th Phase JP Nagar
165,7th Phase JP Nagar
166,7th Phase JP Nagar
168,7th Phase JP Nagar
169,7th Phase JP Nagar
170,7th Phase JP Nagar
171,7th Phase JP Nagar
172,7th Phase JP Nagar
174,7th Phase JP Nagar
175,7th Phase JP Nagar
176,7th Phase JP Nagar
177,7th Phase JP Nagar
178,7th Phase JP Nagar
179,7th Phase JP Nagar
180,7th Phase JP Nagar
182,7th Phase JP Nagar
183,7th Phase JP Nagar
184,7th Phase JP Nagar
186,7th Phase JP Nagar
187,7th Phase JP Nagar
188,7th Phase JP Nagar
189,7th Phase JP Nagar
190,7th Phase JP Nagar
191,8th Phase JP Nagar
192,8th Phase JP Nagar
194,8th Phase JP Nagar
196,8th Phase JP Nagar
197,8th Phase JP Nagar
198,8th Phase JP Nagar
199,8th Phase JP Nagar
200,8th Phase JP Nagar
201,8th Phase JP Nagar
202,8th Phase JP Nagar
203,8th Phase JP Nagar
205,8th Phase JP Nagar
206,8th Phase JP Nagar
207,8th Phase JP Nagar
208,8th Phase JP Nagar
209,8th Phase JP Nagar
210,8th Phase JP Nagar
211,8th Phase JP Nagar
212,8th Phase JP Nagar
213,8th Phase JP Nagar
214,8th Phase JP Nagar
215,8th Phase JP Nagar
216,8th Phase JP Nagar
218,8th Phase JP Nagar
219,8th Phase JP Nagar
221,8th Phase JP Nagar
223,8th Phase JP Nagar
224,8th Phase JP Nagar
225,8th Phase JP Nagar
226,8th Phase JP Nagar
227,8th Phase JP Nagar
228,8th Phase JP Nagar
229,8th Phase JP Nagar
230,8th Phase JP Nagar
231,8th Phase JP Nagar
234,8th Phase JP Nagar
236,8th Phase JP Nagar
238,9th Phase JP Nagar
240,9th Phase JP Nagar
241,9th Phase JP Nagar
242,9th Phase JP Nagar
243,9th Phase JP Nagar
244,9th Phase JP Nagar
245,9th Phase JP Nagar
246,9th Phase JP Nagar
247,9th Phase JP Nagar
248,9th Phase JP Nagar
249,9th Phase JP Nagar
250,9th Phase JP Nagar
251,9th Phase JP Nagar
252,9th Phase JP Nagar
253,9th Phase JP Nagar
254,9th Phase JP Nagar
255,9th Phase JP Nagar
256,9th Phase JP Nagar
257,9th Phase JP Nagar
258,9th Phase JP Nagar
259,9th Phase JP Nagar
260,9th Phase JP Nagar
262,9th Phase JP Nagar
265,9th Phase JP Nagar
267,9th Phase JP Nagar
269,9th Phase JP Nagar
270,9th Phase JP Nagar
271,AECS Layout
272,AECS Layout
273,AECS Layout
274,AECS Layout
275,AECS Layout
276,AECS Layout
277,AECS Layout
279,Abbigere
280,Abbigere
281,Abbigere
282,Abbigere
283,Abbigere
284,Abbigere
285,Abbigere
287,Abbigere
288,Abbigere
289,Abbigere
290,Abbigere
291,Abbigere
292,Abbigere
293,Abbigere
294,Abbigere
295,Abbigere
296,Abbigere
297,Abbigere
298,Akshaya Nagar
299,Akshaya Nagar
300,Akshaya Nagar
301,Akshaya Nagar
302,Akshaya Nagar
303,Akshaya Nagar
304,Akshaya Nagar
306,Akshaya Nagar
307,Akshaya Nagar
308,Akshaya Nagar
309,Akshaya Nagar
310,Akshaya Nagar
311,Akshaya Nagar
312,Akshaya Nagar
313,Akshaya Nagar
314,Akshaya Nagar
315,Akshaya Nagar
316,Akshaya Nagar
317,Akshaya Nagar
319,Akshaya Nagar
320,Akshaya Nagar
321,Akshaya Nagar
322,Akshaya Nagar
323,Akshaya Nagar
324,Akshaya Nagar
326,Akshaya Nagar
327,Akshaya Nagar
328,Akshaya Nagar
329,Akshaya Nagar
330,Akshaya Nagar
332,Akshaya Nagar
333,Akshaya Nagar
334,Akshaya Nagar
335,Akshaya Nagar
336,Akshaya Nagar
337,Akshaya Nagar
338,Akshaya Nagar
339,Akshaya Nagar
340,Akshaya Nagar
341,Akshaya Nagar
342,Akshaya Nagar
343,Akshaya Nagar
344,Akshaya Nagar
345,Ambalipura
346,Ambalipura
347,Ambalipura
348,Ambalipura
349,Ambalipura
350,Ambalipura
352,Ambalipura
353,Ambalipura
357,Ambalipura
358,Ambalipura
359,Ambalipura
360,Ambalipura
361,Ambalipura
362,Ambalipura
363,Ambalipura
364,Ambalipura
365,Ambedkar Nagar
366,Ambedkar Nagar
367,Ambedkar Nagar
368,Ambedkar Nagar
369,Ambedkar Nagar
370,Ambedkar Nagar
371,Ambedkar Nagar
372,Ambedkar Nagar
373,Ambedkar Nagar
374,Ambedkar Nagar
375,Ambedkar Nagar
376,Ambedkar Nagar
377,Ambedkar Nagar
378,Ambedkar Nagar
379,Ambedkar Nagar
380,Ambedkar Nagar
381,Ambedkar Nagar
382,Ambedkar Nagar
383,Ambedkar Nagar
384,Ambedkar Nagar
385,Ambedkar Nagar
386,Ambedkar Nagar
387,Ambedkar Nagar
388,Ambedkar Nagar
389,Ambedkar Nagar
390,Ambedkar Nagar
391,Amruthahalli
392,Amruthahalli
393,Amruthahalli
394,Amruthahalli
395,Amruthahalli
396,Amruthahalli
397,Amruthahalli
401,Amruthahalli
402,Amruthahalli
403,Amruthahalli
404,Amruthahalli
405,Amruthahalli
406,Amruthahalli
407,Amruthahalli
408,Amruthahalli
409,Amruthahalli
410,Amruthahalli
411,Anandapura
412,Anandapura
413,Anandapura
415,Anandapura
416,Anandapura
417,Anandapura
418,Anandapura
419,Anandapura
420,Anandapura
421,Anandapura
423,Anandapura
424,Anandapura
425,Anandapura
426,Anandapura
427,Anandapura
428,Anandapura
429,Anandapura
431,Ananth Nagar
432,Ananth Nagar
433,Ananth Nagar
434,Ananth Nagar
435,Ananth Nagar
436,Ananth Nagar
437,Ananth Nagar
438,Ananth Nagar
439,Ananth Nagar
440,Ananth Nagar
441,Ananth Nagar
442,Ananth Nagar
443,Ananth Nagar
444,Ananth Nagar
445,Ananth Nagar
446,Ananth Nagar
447,Ananth Nagar
449,Ananth Nagar
450,Ananth Nagar
451,Ananth Nagar
452,Ananth Nagar
453,Ananth Nagar
454,Ananth Nagar
455,Ananth Nagar
456,Ananth Nagar
458,Anekal
459,Anekal
460,Anekal
461,Anekal
462,Anekal
463,Anekal
465,Anekal
466,Anekal
467,Anekal
471,Anekal
472,Anekal
473,Anekal
474,Anekal
475,Anekal
478,Anekal
479,Anekal
482,Anekal
486,Anekal
487,Anekal
488,Anekal
489,Anekal
490,Anjanapura
491,Anjanapura
492,Anjanapura
493,Anjanapura
494,Anjanapura
495,Anjanapura
496,Anjanapura
498,Anjanapura
499,Anjanapura
500,Anjanapura
501,Anjanapura
502,Anjanapura
503,Ardendale
504,Ardendale
505,Ardendale
506,Ardendale
507,Ardendale
508,Ardendale
509,Ardendale
510,Ardendale
511,Ardendale
513,Ardendale
514,Ardendale
515,Ardendale
516,Ardendale
517,Ardendale
518,Ardendale
519,Ardendale
520,Ardendale
521,Ardendale
522,Arekere
523,Arekere
524,Arekere
525,Arekere
526,Arekere
527,Arekere
528,Arekere
529,Arekere
531,Arekere
532,Arekere
533,Attibele
534,Attibele
535,Attibele
536,Attibele
537,Attibele
538,Attibele
539,Attibele
540,Attibele
541,Attibele
542,Attibele
544,Attibele
545,Attibele
546,Attibele
547,Attibele
548,Attibele
549,Attibele
550,Attibele
554,Attibele
556,Attibele
557,Attibele
558,Attibele
559,Attibele
560,Attibele
561,Attibele
563,Attibele
564,Attibele
565,Attibele
566,Attibele
567,Attibele
568,Attibele
569,BEML Layout
571,BEML Layout
572,BEML Layout
574,BEML Layout
575,BEML Layout
576,BEML Layout
579,BEML Layout
581,BTM 2nd Stage
582,BTM 2nd Stage
583,BTM 2nd Stage
584,BTM 2nd Stage
586,BTM 2nd Stage
587,BTM 2nd Stage
588,BTM 2nd Stage
589,BTM 2nd Stage
590,BTM 2nd Stage
591,BTM 2nd Stage
592,BTM 2nd Stage
593,BTM 2nd Stage
594,BTM 2nd Stage
